Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,19.8467,20.0387,19.6913,20.068,19.94,7.57575e+07
2018-09-24,19.8987,20.2,19.572,19.6533,19.9787,7.2645e+07
2018-09-25,20,20.3067,19.7667,18.7887,20.066,6.72255e+07
2018-09-26,20.1273,20.926,20.074,17.4633,20.6387,1.17648e+08
2018-09-27,20.86,20.9973,20.4607,16.704,20.5013,1.27636e+08
2018-09-28,18.0173,18.5333,17.3707,17.52,17.6513,5.04746e+08
2018-10-01,20.3847,20.7627,20.07,17.1253,20.7133,3.26664e+08
2018-10-02,20.93,21.1227,19.9433,16.8153,20.068,1.76152e+08
2018-10-03,20.222,20.3067,19.438,17.252,19.6533,1.19925e+08
2018-10-04,19.5967,19.6,18.5113,17.306,18.7887,1.47213e+08
2018-10-05,18.31,18.3253,17.3333,18.4393,17.4633,2.69168e+08
2018-10-08,17.6347,17.8507,16.6,18.1187,16.704,2.0209e+08
2018-10-09,17.0167,17.7847,16.8867,17.594,17.52,1.80909e+08
2018-10-10,17.6407,17.7007,16.518,17.3333,17.1253,1.9223e+08
2018-10-11,17.1687,17.4833,16.602,17.3967,16.8153,1.22516e+08
2018-10-12,17.4,17.466,16.8007,19.6093,17.252,1.08021e+08
2018-10-15,17.2707,17.552,16.9693,19.2333,17.306,9.3e+07
2018-10-16,17.7133,18.492,17.4827,20.9907,18.4393,1.42896e+08
2018-10-17,18.8267,18.8467,17.72,22.06,18.1187,1.29832e+08
2018-10-18,17.9527,18.0667,17.5333,22.3233,17.594,8.1318e+07
2018-10-19,17.826,17.9773,16.9,21.9933,17.3333,1.40632e+08
2018-10-22,17.3787,17.4573,16.8393,22.488,17.3967,8.40045e+07
2018-10-23,17.5913,19.862,17.4733,22.952,19.6093,2.85417e+08
2018-10-24,20.07,20.296,19.0487,23.094,19.2333,3.00874e+08
2018-10-25,21.148,21.4,20.0673,22.76,20.9907,3.1261e+08
2018-10-26,20.55,22.66,20.4433,22.7373,22.06,4.11382e+08
2018-10-29,22.498,23.144,21.7667,23.2107,22.3233,2.1729e+08
2018-10-30,21.8927,22.5267,21.484,23.4267,21.9933,1.369e+08
2018-10-31,22.1693,22.8,21.94,23.3673,22.488,1.14364e+08
2018-11-01,22.5507,23.1893,22.3153,22.0853,22.952,1.20002e+08
2018-11-02,22.916,23.28,22.7273,22.582,23.094,1.1712e+08
2018-11-05,22.7,22.9307,22.0093,22.9333,22.76,1.17465e+08
2018-11-06,22.6047,23.2533,22.406,23.2293,22.7373,1.01444e+08
2018-11-07,22.8893,23.412,22.72,23.6207,23.2107,1.10618e+08
2018-11-08,23.2333,23.8387,23.2293,23.5647,23.4267,1.0636e+08
2018-11-09,23.2667,23.6,23.0153,23.166,23.3673,7.6482e+07
2018-11-12,23.2247,23.3187,22.0227,22.546,22.0853,1.04122e+08
2018-11-13,22.2107,22.98,22.1467,21.722,22.582,8.1729e+07
2018-11-14,22.8467,23.1407,22.4767,23.0667,22.9333,7.56045e+07
2018-11-15,22.822,23.2387,22.6027,22.928,23.2293,6.93855e+07
2018-11-16,23.0127,23.7133,23.008,23.1913,23.6207,1.08093e+08
2018-11-19,23.756,24.45,23.5253,22.7447,23.5647,1.45634e+08
2018-11-20,22.7833,23.32,22.2367,23.3653,23.166,1.2007e+08
2018-11-21,23.4667,23.54,22.4933,23.8993,22.546,7.0302e+07
2018-11-23,22.29,22.5,21.7033,23.98,21.722,6.3039e+07
2018-11-26,21.6667,23.0813,21.6667,24.204,23.0667,1.19882e+08
2018-11-27,22.67,23.1307,22.3667,23.8647,22.928,9.53745e+07
2018-11-28,23.066,23.2187,22.814,24.3433,23.1913,6.1914e+07
2018-11-29,23.1333,23.1667,22.6367,24.4507,22.7447,4.62105e+07
2018-11-30,22.7887,23.44,22.5507,24.44,23.3653,8.44365e+07
2018-12-03,24,24.4,23.4667,25.1193,23.8993,1.24598e+08
2018-12-04,23.7367,24.5787,23.4667,24.3807,23.98,1.26928e+08
2018-12-06,23.734,24.492,23.384,23.228,24.204,1.17638e+08
2018-12-07,24.6,25.2993,23.8433,22.4687,23.8647,1.72668e+08
2018-12-10,24,24.3987,23.5413,22.198,24.3433,9.92025e+07
2018-12-11,24.6607,24.8113,24.0153,21.0253,24.4507,9.4632e+07
2018-12-12,24.628,24.794,24.344,21.318,24.44,7.5405e+07
2018-12-13,24.6767,25.1627,24.45,19.6927,25.1193,1.10488e+08
2018-12-14,25,25.1913,24.2887,21.7393,24.3807,9.5064e+07
2018-12-17,24.1333,24.38,22.9253,21.0753,23.228,1.1511e+08
2018-12-18,23.3693,23.4367,22.246,22.258,22.4687,1.065e+08
2018-12-19,22.5067,23.134,21.9827,22.1867,22.198,1.24113e+08
2018-12-20,21.8033,22.0193,20.7913,20.6747,21.0253,1.36078e+08
2018-12-21,21.16,21.5647,20.8293,20.024,21.318,1.20252e+08
2018-12-24,20.9,20.9667,19.68,21.1793,19.6927,8.33985e+07
2018-12-26,20,21.798,19.606,22.3307,21.7393,1.22446e+08
2018-12-27,21.3227,21.478,20.1,22.3567,21.0753,1.28626e+08
2018-12-28,21.54,22.416,21.2273,22.5687,22.258,1.49085e+08
2018-12-31,22.5193,22.614,21.684,22.998,22.1867,9.45345e+07
2019-01-02,20.4067,21.0087,19.92,23.1507,20.6747,1.74879e+08
2019-01-03,20.4667,20.6267,19.8253,22.2933,20.024,1.04478e+08
2019-01-04,20.4,21.2,20.182,22.962,21.1793,1.10912e+08
2019-01-07,21.448,22.4493,21.1833,23.07,22.3307,1.13268e+08
2019-01-08,22.7973,22.934,21.8013,23.154,22.3567,1.05128e+08
2019-01-09,22.3667,22.9,22.098,20.1507,22.5687,8.14935e+07
2019-01-10,22.2933,23.026,22.1193,19.928,22.998,9.0846e+07
2019-01-11,22.806,23.2273,22.5847,19.1727,23.1507,7.55865e+07
2019-01-14,22.8253,22.8333,22.2667,19.434,22.2933,7.87095e+07
2019-01-15,22.3333,23.2533,22.3,19.8027,22.962,9.0849e+07
2019-01-16,22.9853,23.4667,22.9,19.7587,23.07,7.03755e+07
2019-01-17,23.0807,23.4333,22.9433,19.8307,23.154,5.51505e+07
2019-01-18,21.5333,21.8087,19.982,20.5847,20.1507,3.62262e+08
2019-01-22,20.3213,20.5333,19.7,20.468,19.928,1.81e+08
2019-01-23,19.5,19.6333,18.7793,20.814,19.1727,1.8795e+08
2019-01-24,18.8687,19.5787,18.6187,20.8593,19.434,1.20183e+08
2019-01-25,19.626,19.9013,19.3033,21.4233,19.8027,1.08744e+08
2019-01-28,19.5273,19.8307,19.1833,21.148,19.7587,9.63495e+07
2019-01-29,19.6847,19.904,19.4533,20.5007,19.8307,6.93255e+07
2019-01-30,20.03,20.6,19.8993,20.3867,20.5847,1.68754e+08
2019-01-31,20.0667,20.7707,19.6,20.856,20.468,1.88538e+08
2019-02-01,20.3613,21.0733,20.2333,20.7873,20.814,1.09251e+08
2019-02-04,20.8653,21.02,20.1253,20.5447,20.8593,1.10282e+08
2019-02-05,20.8327,21.496,20.8167,20.2513,21.4233,1.01142e+08
2019-02-06,21.306,21.616,21.0413,20.5253,21.148,7.55775e+07
2019-02-07,20.8867,20.98,20.2,20.376,20.5007,9.7809e+07
2019-02-08,20.4553,20.4967,19.9,20.1707,20.3867,8.7663e+07
2019-02-11,20.7733,21.24,20.7,19.4153,20.856,1.06946e+08
2019-02-12,21.08,21.2127,20.6413,19.6473,20.7873,8.2764e+07
2019-02-13,20.8233,20.85,20.3713,19.918,20.5447,7.7124e+07
2019-02-14,20.2253,20.4513,20.0667,19.8573,20.2513,7.8012e+07
2019-02-15,20.3,20.5333,20.26,20.9827,20.5253,5.85735e+07
2019-02-19,20.4373,20.7693,20.3647,21.3253,20.376,6.2526e+07
2019-02-20,20.294,20.42,19.9333,19.6527,20.1707,1.07132e+08
2019-02-21,20.1207,20.216,19.3667,19.024,19.4153,1.33638e+08
2019-02-22,19.6327,19.7667,19.4733,18.436,19.6473,8.6109e+07
2019-02-25,19.8607,20.1933,19.8,18.416,19.918,9.93975e+07
2019-02-26,19.4813,20.134,19.2513,18.4393,19.8573,1.28738e+08
2019-02-27,20.1187,21.0867,20.0367,18.9427,20.9827,1.67758e+08
2019-02-28,21.2613,21.3333,20.7207,19.3947,21.3253,1.5781e+08
2019-03-01,20.4627,20.4753,19.46,18.8907,19.6527,3.43671e+08
2019-03-04,19.8747,19.9333,18.852,19.264,19.024,2.56452e+08
2019-03-05,18.8,18.9333,18.0067,19.3307,18.436,2.8147e+08
2019-03-06,18.432,18.7673,18.2927,18.362,18.416,1.55032e+08
2019-03-07,18.5893,18.98,18.2833,17.966,18.4393,1.41638e+08
2019-03-08,18.4607,19.0393,18.3927,17.8313,18.9427,1.32294e+08
2019-03-11,18.9013,19.4187,18.7,18.24,19.3947,1.10884e+08
2019-03-12,19.0993,19.2047,18.7373,18.268,18.8907,1.12562e+08
2019-03-13,18.9267,19.466,18.8467,17.6353,19.264,1.0267e+08
2019-03-14,19.4967,19.6927,19.2193,17.3613,19.3307,1.06551e+08
2019-03-15,18.9007,18.9147,18.2933,17.8513,18.362,2.21782e+08
2019-03-18,18.4,18.5367,17.82,18.322,17.966,1.54215e+08
2019-03-19,17.8333,18.22,17.564,18.5747,17.8313,1.77009e+08
2019-03-20,17.9793,18.3313,17.7533,18.6573,18.24,1.03623e+08
2019-03-21,18.1733,18.43,17.8967,19.2787,18.268,8.92065e+07
2019-03-22,18.172,18.1867,17.6,19.0587,17.6353,1.31184e+08
2019-03-25,17.314,17.5453,16.964,19.454,17.3613,1.53225e+08
2019-03-26,17.6293,18.0173,17.6287,17.852,17.8513,1.10264e+08
2019-03-27,17.9167,18.358,17.8787,18.3307,18.322,1.31688e+08
2019-03-28,18.4773,18.6887,18.34,18.2133,18.5747,1.01612e+08
2019-03-29,18.58,18.6773,18.3,18.154,18.6573,8.98695e+07
2019-04-01,18.8413,19.28,18.752,18.404,19.2787,1.21656e+08
2019-04-02,19.22,19.296,18.9253,17.8947,19.0587,8.21835e+07
2019-04-03,19.1547,19.7447,19.1447,17.8467,19.454,1.18791e+08
2019-04-04,17.4593,18.08,17.3727,17.7587,17.852,3.5581e+08
2019-04-05,17.9907,18.4067,17.7407,18.224,18.3307,1.95574e+08
2019-04-08,18.5127,18.744,18.0293,18.082,18.2133,1.56156e+08
2019-04-09,18.11,18.3333,17.974,18.2173,18.154,8.856e+07
2019-04-10,18.4493,18.5587,18.1927,17.5167,18.404,1.0592e+08
2019-04-11,17.8867,18.0333,17.7067,17.5933,17.8947,1.47538e+08
2019-04-12,18.0147,18.13,17.7887,17.244,17.8467,1.0119e+08
2019-04-15,17.9087,17.9253,17.242,16.5087,17.7587,1.50579e+08
2019-04-16,17.7167,18.3333,17.648,15.676,18.224,1.09094e+08
2019-04-17,18.3167,18.3193,17.9027,16.098,18.082,7.68975e+07
2019-04-18,18.082,18.3227,17.9833,15.9127,18.2173,8.81445e+07
2019-04-22,17.9333,17.9787,17.4987,15.6007,17.5167,1.82206e+08
2019-04-23,17.3433,17.7067,17.05,16.2733,17.5933,1.64158e+08
2019-04-24,17.59,17.688,17.2,17.002,17.244,1.60912e+08
2019-04-25,17,17.2667,16.4047,17.0227,16.5087,3.27741e+08
2019-04-26,16.4333,16.4453,15.4087,16.4707,15.676,3.3541e+08
2019-04-29,15.724,16.2653,15.478,16.3227,16.098,2.50718e+08
2019-04-30,16.1373,16.2807,15.8,16.132,15.9127,1.41969e+08
2019-05-01,15.9233,16,15.4333,15.968,15.6007,1.60566e+08
2019-05-02,16.368,16.4753,15.848,15.134,16.2733,2.7239e+08
2019-05-03,16.2573,17.1073,16.2327,15.4873,17.002,3.55602e+08
2019-05-06,16.668,17.2233,16.5667,15.4633,17.0227,1.62508e+08
2019-05-07,17.12,17.1473,16.34,15.222,16.4707,1.51971e+08
2019-05-08,16.4627,16.7067,16.28,14.0687,16.3227,9.2646e+07
2019-05-09,16.1333,16.2453,15.796,13.6907,16.132,1.00671e+08
2019-05-10,15.9833,16.1327,15.7347,13.672,15.968,1.05124e+08
2019-05-13,15.4673,15.498,14.9667,12.8487,15.134,1.62522e+08
2019-05-14,15.2867,15.6333,15.2,13.0327,15.4873,1.08786e+08
2019-05-15,15.288,15.496,15.0167,12.7087,15.4633,1.0944e+08
2019-05-16,15.2993,15.4,15.1,12.58,15.222,1.1225e+08
2019-05-17,14.7973,14.816,13.928,12.6573,14.0687,2.668e+08
2019-05-20,13.52,13.7333,13.0167,12.548,13.6907,3.07893e+08
2019-05-21,13.184,13.8267,13.0693,12.344,13.672,2.70058e+08
2019-05-22,13.2733,13.596,12.7853,11.9313,12.8487,2.80278e+08
