,Open,High,Low,Close,Adj Close,Volume
,19.860666,20.193333,19.799999,18.330667,19.917999,99397500
,19.481333,20.134001,19.251333,18.213333,19.857332,128737500
,20.118668,21.086666,20.036667,18.153999,20.982668,167758500
,21.261333,21.333332,20.720667,18.403999,21.325333,157810500
,20.462667,20.475332,19.459999,17.894667,19.652666,343671000
,19.874666,19.933332,18.851999,17.846666,19.024000,256452000
,18.799999,18.933332,18.006666,17.758667,18.436001,281470500
,18.431999,18.767332,18.292667,18.224001,18.416000,155032500
,18.589333,18.980000,18.283333,18.082001,18.439333,141637500
,18.460667,19.039333,18.392668,18.217333,18.942667,132294000
,18.901333,19.418667,18.700001,17.516666,19.394667,110884500
,19.099333,19.204666,18.737333,17.593332,18.890667,112561500
,18.926666,19.466000,18.846666,17.243999,19.264000,102670500
,19.496668,19.692667,19.219334,16.508667,19.330667,106551000
,18.900667,18.914667,18.293333,15.676000,18.362000,221782500
,18.400000,18.536667,17.820000,16.098000,17.966000,154215000
,17.833332,18.219999,17.563999,15.912667,17.831333,177009000
,17.979334,18.331333,17.753332,15.600667,18.240000,103623000
,18.173332,18.430000,17.896667,16.273333,18.268000,89206500
,18.172001,18.186666,17.600000,17.002001,17.635332,131184000
,17.313999,17.545334,16.964001,17.022667,17.361334,153225000
,17.629333,18.017332,17.628668,16.470667,17.851334,110263500
,17.916668,18.358000,17.878668,16.322666,18.322001,131688000
,18.477333,18.688667,18.340000,16.132000,18.574667,101611500
,18.580000,18.677334,18.299999,15.968000,18.657333,89869500
,18.841333,19.280001,18.752001,15.134000,19.278667,121656000
,19.219999,19.296000,18.925333,15.487333,19.058666,82183500
,19.154667,19.744667,19.144667,15.463333,19.454000,118791000
,17.459333,18.080000,17.372667,15.222000,17.851999,355810500
,17.990667,18.406668,17.740667,14.068667,18.330667,195574500
,18.512667,18.743999,18.029333,13.690667,18.213333,156156000
,18.110001,18.333332,17.974001,13.672000,18.153999,88560000
,18.449333,18.558666,18.192667,12.848667,18.403999,105919500
,17.886667,18.033333,17.706667,13.032667,17.894667,147538500
,18.014668,18.129999,17.788668,12.708667,17.846666,101190000
,17.908667,17.925333,17.242001,12.580000,17.758667,150579000
,17.716667,18.333332,17.648001,12.657333,18.224001,109093500
,18.316668,18.319332,17.902666,12.548000,18.082001,76897500
,18.082001,18.322666,17.983334,12.344000,18.217333,88144500
,17.933332,17.978666,17.498667,11.931333,17.516666,182206500
,17.343332,17.706667,17.049999,12.906667,17.593332,164158500
,17.590000,17.688000,17.200001,13.106000,17.243999,160912500
,17.000000,17.266666,16.404667,13.730000,16.508667,327741000
,16.433332,16.445333,15.408667,13.633333,15.676000,335410500
,15.724000,16.265333,15.478000,14.192000,16.098000,250717500
,16.137333,16.280666,15.800000,14.473333,15.912667,141969000
,15.923333,16.000000,15.433333,13.950667,15.600667,160566000
,16.368000,16.475332,15.848000,14.260667,16.273333,272389500
,16.257334,17.107332,16.232668,14.328000,17.002001,355602000
,16.667999,17.223333,16.566668,15.002000,17.022667,162508500
,17.120001,17.147333,16.340000,14.982667,16.470667,151971000
,16.462667,16.706667,16.280001,15.095333,16.322666,92646000
,16.133333,16.245333,15.796000,14.641333,16.132000,100671000
,15.983333,16.132668,15.734667,14.790667,15.968000,105124500
,15.467333,15.498000,14.966667,14.909333,15.134000,162522000
,15.286667,15.633333,15.200000,14.650667,15.487333,108786000
,15.288000,15.496000,15.016667,14.618000,15.463333,109440000
,15.299333,15.400000,15.100000,14.856000,15.222000,112249500
,14.797333,14.816000,13.928000,14.897333,14.068667,266800500
,13.520000,13.733333,13.016667,15.144667,13.690667,307893000
,13.184000,13.826667,13.069333,14.970000,13.672000,270058500
,13.273333,13.596000,12.785333,15.660000,12.848667,280278000
,12.956000,13.298000,12.414667,15.540000,13.032667,398206500
,13.322000,13.332000,12.583333,15.356000,12.708667,212049000
,12.746667,13.000000,12.523333,15.337333,12.580000,154693500
,12.473333,12.826000,12.336000,15.928000,12.657333,179529000
,12.583333,12.817333,12.468000,15.906667,12.548000,118897500
,12.340000,12.661333,12.273333,16.338667,12.344000,156100500
,12.367333,12.445333,11.799333,16.900000,11.931333,195966000
,12.073333,12.932000,11.974000,16.825333,12.906667,207112500
,13.245333,13.418667,12.790000,16.990667,13.106000,202662000
,13.629333,14.066667,13.453333,16.902666,13.730000,303633000
,13.666667,14.056000,13.566667,17.212000,13.633333,240052500
,14.016667,14.462667,13.934000,17.045334,14.192000,158775000
,14.609333,14.726667,14.233333,17.344667,14.473333,174802500
,14.863333,14.892000,13.933333,17.658667,13.950667,227962500
,14.025333,14.326667,13.834000,15.254667,14.260667,122524500
,14.083333,14.443333,14.026667,15.202667,14.328000,111501000
,14.365333,15.133333,14.284667,15.718000,15.002000,184752000
,15.248000,15.649333,14.837333,16.150667,14.982667,190737000
,15.007333,15.184667,14.737333,16.107332,15.095333,98626500
,14.866667,15.126667,14.423333,15.590000,14.641333,177952500
,14.414667,14.812000,14.366667,15.622667,14.790667,123031500
,14.882667,15.057333,14.734667,15.221333,14.909333,86262000
,14.959333,15.022667,14.632667,15.383333,14.650667,92731500
