Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,19.8467,20.0387,19.6913,16.704,19.94,75757500
2018-09-24,19.8987,20.2,19.572,17.52,19.9787,72645000
2018-09-25,20,20.3067,19.7667,17.1253,20.066,67225500
2018-09-26,20.1273,20.926,20.074,16.8153,20.6387,117648000
2018-09-27,20.86,20.9973,20.4607,17.252,20.5013,127636000
2018-09-28,18.0173,18.5333,17.3707,17.306,17.6513,504746000
2018-10-01,20.3847,20.7627,20.07,18.4393,20.7133,326664000
2018-10-02,20.93,21.1227,19.9433,18.1187,20.068,176152000
2018-10-03,20.222,20.3067,19.438,17.594,19.6533,119925000
2018-10-04,19.5967,19.6,18.5113,17.3333,18.7887,147213000
2018-10-05,18.31,18.3253,17.3333,17.3967,17.4633,269168000
2018-10-08,17.6347,17.8507,16.6,19.6093,16.704,202090000
2018-10-09,17.0167,17.7847,16.8867,19.2333,17.52,180909000
2018-10-10,17.6407,17.7007,16.518,20.9907,17.1253,192230000
2018-10-11,17.1687,17.4833,16.602,22.06,16.8153,122516000
2018-10-12,17.4,17.466,16.8007,22.3233,17.252,108021000
2018-10-15,17.2707,17.552,16.9693,21.9933,17.306,93000000
2018-10-16,17.7133,18.492,17.4827,22.488,18.4393,142896000
2018-10-17,18.8267,18.8467,17.72,22.952,18.1187,129832000
2018-10-18,17.9527,18.0667,17.5333,23.094,17.594,81318000
2018-10-19,17.826,17.9773,16.9,22.76,17.3333,140632000
2018-10-22,17.3787,17.4573,16.8393,22.7373,17.3967,84004500
2018-10-23,17.5913,19.862,17.4733,23.2107,19.6093,285417000
2018-10-24,20.07,20.296,19.0487,23.4267,19.2333,300874000
2018-10-25,21.148,21.4,20.0673,23.3673,20.9907,312610000
2018-10-26,20.55,22.66,20.4433,22.0853,22.06,411382000
2018-10-29,22.498,23.144,21.7667,22.582,22.3233,217290000
2018-10-30,21.8927,22.5267,21.484,22.9333,21.9933,136900000
2018-10-31,22.1693,22.8,21.94,23.2293,22.488,114364000
2018-11-01,22.5507,23.1893,22.3153,23.6207,22.952,120002000
2018-11-02,22.916,23.28,22.7273,23.5647,23.094,117120000
